"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YLR201C"	"38_231_4rhp.1.B_5b3d16fa08cc8f44450061c3"	"NA"	"NA"	38	231	"glycerol_high"	"0.5887"
"YBR222C"	"4_534_5ie2.1.A_5b3e4a309ffd1217e2f3a979"	"NA"	"NA"	4	534	"glycerol_high"	"0.5461"
"YBR222C"	"4_533_5bsr.1.A_5b3e4a309ffd1217e2f3a97d"	"NA"	"NA"	4	533	"glycerol_high"	"0.4878"
"YDR300C"	"6_426_4q1t.1.A_5b3b54998fd6f9adc78ebe70"	"NA"	"NA"	6	426	"glycerol_high"	"0.5519"
"YDR441C"	"6_179_5vjn.1.A_5b40b44ba03a1b86e619d181"	"NA"	"NA"	6	179	"glycerol_high"	"NA"
"YDR007W"	"11_224_1nsj.1.A_5b3e29151a200b804c7d1e26"	"NA"	"NA"	11	224	"glycerol_high"	"0.7799"
"YDL024C"	"9_468_2gfi.1.A_5b3ce95d9ffd126d23e29ff0"	"NA"	"NA"	9	468	"glycerol_high"	"0.8766"
"YDL024C"	"35_467_2gfi.1.A_5b3ce95d9ffd126d23e29fec"	"NA"	"NA"	35	467	"glycerol_high"	"0.7406"
"YHR215W"	"11_465_2gfi.1.A_5b3ce5f49ffd12be89cfe60d"	"NA"	"NA"	11	465	"glycerol_high"	"NA"
"YBR093C"	"6_467_2gfi.1.A_5b3ce3953b85d1da0957a163"	"NA"	"NA"	6	467	"glycerol_high"	"0.8936"
"YBR092C"	"34_465_2gfi.1.A_5b3ce5f59ffd12be89cfe6f1"	"NA"	"NA"	34	465	"glycerol_high"	"0.434"
"YBR092C"	"6_467_2gfi.1.A_5b3ce5f59ffd12be89cfe6ec"	"NA"	"NA"	6	467	"glycerol_high"	"0.5225"
"YBL033C"	"136_279_2bz1.1.A_5a7c3e56c730d475c3dc64ac"	"NA"	"NA"	136	279	"glycerol_high"	"NA"
"YLR328W"	"162_389_1kku.1.A_5b3aeb121a200b4161277e52"	"NA"	"NA"	162	389	"glycerol_high"	"NA"
"YLR209C"	"6_311_5ifk.1.A_5b3b0fce1a200b630ddc4fa0"	"NA"	"NA"	6	311	"glycerol_high"	"0.5182"
"YMR120C"	"4_592_1g8m.1.A_5b3f889e08cc8fa5122f0c55"	"NA"	"NA"	4	592	"glycerol_high"	"0.3783"
"YGR199W"	"341_546_3mal.1.A_5b4306c79ffd12212503f44f"	"NA"	"NA"	341	546	"glycerol_high"	"0.8127"
"YHR190W"	"35_375_3v66.1.A_5b3b7ef61a200b7e447b1595"	"NA"	"NA"	35	375	"glycerol_high"	"0.9658"
"YFL045C"	"6_254_5ue7.1.A_5b3d320fa03a1b641490aebf"	"NA"	"NA"	6	254	"glycerol_high"	"0.9991"
"YDL078C"	"2_339_1mld.1.A_5b3a7e331a200b6751da0246"	"NA"	"NA"	2	339	"glycerol_high"	"0.0354"
"YER037W"	"4_284_3nuq.1.A_5b3ad8ce3b85d1cd69e9e1b0"	"NA"	"NA"	4	284	"glycerol_high"	"0.7035"
"YKL127W"	"5_570_5vg7.1.A_5b3efad5a03a1bf988f972de"	"NA"	"NA"	5	570	"glycerol_high"	"0.0521"
"YJR153W"	"46_361_2iq7.1.A_5b3a5fa3a03a1b51f6f76069"	"NA"	"NA"	46	361	"glycerol_high"	"0.7994"
"YOR074C"	"7_304_1f28.1.B_5b3b3d289ffd1258d1961cdc"	"NA"	"NA"	7	304	"glycerol_high"	"0.7532"
"YDL021W"	"10_95_2pa0.1.A_59f2ac9e7f4bf97628593a8a"	"NA"	"NA"	10	95	"glycerol_high"	"NA"
"YDL021W"	"11_135_1h2e.1.A_59f2ac9e7f4bf97628593a82"	"NA"	"NA"	11	135	"glycerol_high"	"NA"
"YGR244C"	"31_422_4xx0.1.B_5b3b4c9d732c1e66e9a5e2c8"	"NA"	"NA"	31	422	"glycerol_high"	"0.1796"
"YPR145W"	"2_546_1ct9.1.A_5b3f0af0d60c5961d6d9368d"	"NA"	"NA"	2	546	"glycerol_high"	"0.8408"
"YJR105W"	"3_336_5kb5.1.A_5b3a8a779ffd12fe0699bccf"	"NA"	"NA"	3	336	"glycerol_high"	"0.8979"
"YPR002W"	"36_514_1szq.1.A_5b3d85cc08cc8f8d9cad5cc0"	"NA"	"NA"	36	514	"glycerol_high"	"0.9837"
"YLR134W"	"2_559_2w93.1.B_5b3ed1fe1a200bbc892895b6"	"NA"	"NA"	2	559	"glycerol_high"	"0.5508"
"YLR099C"	"176_213_4f0j.1.A_5886310a7aaa0d4986af6b26"	"NA"	"NA"	176	213	"glycerol_high"	"NA"
"YBR002C"	"25_261_4h8e.1.A_5b3b9ffa732c1ed120f08f93"	"NA"	"NA"	25	261	"glycerol_high"	"0.1737"
"YDR531W"	"19_359_5kpr.1.A_5b3a79673b85d170517d01d0"	"NA"	"NA"	19	359	"glycerol_high"	"0.3455"
"YBR176W"	"23_295_3vav.1.A_5b3b080308cc8f09421a59b5"	"NA"	"NA"	23	295	"glycerol_high"	"0.2955"
"YBR176W"	"23_293_1oy0.1.A_5b3b080308cc8f09421a59b0"	"NA"	"NA"	23	293	"glycerol_high"	"0.2553"
"YHR179W"	"2_399_3tx9.1.A_5b3aeaa39ffd12d85f9edc24"	"NA"	"NA"	2	399	"glycerol_high"	"0.0761"
"YJL088W"	"10_334_3sds.1.A_5b3a91133b85d1633d2f78b1"	"NA"	"NA"	10	334	"glycerol_high"	"0.1713"
"YBR221C"	"39_365_2ozl.1.B_5b3a749a9ffd12a82b0d964a"	"NA"	"NA"	39	365	"glycerol_high"	"0.618"
"YNL071W"	"175_214_1zy8.2.C_5a7dfd5ac730d46592e49404"	"NA"	"NA"	175	214	"glycerol_high"	"NA"
"YNL071W"	"252_482_3l60.1.A_5a7dfd5ac730d46592e49400"	"NA"	"NA"	252	482	"glycerol_high"	"0.0379"
"YIL125W"	"42_1012_2xt6.1.A_5b46dafc1a200bb627e161ff"	"NA"	"NA"	42	1012	"glycerol_high"	"0.5261"
"YIL125W"	"116_1011_2jgd.1.A_5b46dafc1a200bb627e16204"	"NA"	"NA"	116	1011	"glycerol_high"	"0.5879"
"YIL125W"	"124_1011_2y0p.1.A_5b46dafc1a200bb627e161fb"	"NA"	"NA"	124	1011	"glycerol_high"	"0.5499"
"YLR438W"	"7_421_2can.1.A_5b3b42fc3b85d15463e2d4c5"	"NA"	"NA"	7	421	"glycerol_high"	"0.886"
"YDL236W"	"7_309_4bx2.1.A_5b3b08c508cc8f29cb803795"	"NA"	"NA"	7	309	"glycerol_high"	"0.7437"
"YGL026C"	"2_265_5kmy.1.A_5b41fc2fa03a1b51fbebbebc"	"NA"	"NA"	2	265	"glycerol_high"	"0.3359"
"YGL026C"	"305_688_5dw3.2.A_5b41fc2fa03a1b51fbebbeb8"	"NA"	"NA"	305	688	"glycerol_high"	"0.333"
"YHR208W"	"21_389_5bwt.1.A_5b3ad442732c1eef9301b627"	"NA"	"NA"	21	389	"glycerol_high"	"0.367"
"YCL017C"	"99_485_1p3w.1.A_5b3d4c0b9ffd12bdda19ed30"	"NA"	"NA"	99	485	"glycerol_high"	"0.6683"
"YDL085W"	"97_542_5yjw.1.A_5b3e640b9ffd12e625bd567b"	"NA"	"NA"	97	542	"glycerol_high"	"0.0334"
"YJL071W"	"402_569_4k30.1.A_59cae3dfafa358bb326f903b"	"NA"	"NA"	402	569	"glycerol_high"	"0.6247"
"YLL041C"	"32_264_2fbw.1.B_5b3cfa1c8fd6f9ddac1171f2"	"NA"	"NA"	32	264	"glycerol_high"	"0.0962"
"YOR196C"	"118_401_4u0p.1.A_5b3b1a90d60c59758e8a5ad2"	"NA"	"NA"	118	401	"glycerol_high"	"0.3917"
"YER003C"	"2_427_5nw7.1.A_5b3b556e8fd6f9d9795eeb27"	"NA"	"NA"	2	427	"glycerol_high"	"0.8118"
"YMR062C"	"28_438_1vz6.1.A_5b3b8bab08cc8ffdefb236ba"	"NA"	"NA"	28	438	"glycerol_high"	"0.0749"
"YNL202W"	"19_269_4fc6.1.A_5b3b7b13732c1ed72a949bef"	"NA"	"NA"	19	269	"glycerol_high"	"0.2768"
"YOR236W"	"5_211_3ro9.1.A_5b3ee46b1a200b2544525530"	"NA"	"NA"	5	211	"glycerol_high"	"0.9555"
"YBR196C"	"16_552_4wmj.1.A_5b3e9a39a03a1bc27a542096"	"NA"	"NA"	16	552	"glycerol_high"	"0.8839"
"YGL062W"	"18_1168_2qf7.1.A_5b4e83f39ffd122a4d0fd720"	"NA"	"NA"	18	1168	"glycerol_high"	"0.1358"
"YGL062W"	"18_1088_3tw6.1.B_5b4e83f39ffd122a4d0fd70c"	"NA"	"NA"	18	1088	"glycerol_high"	"0.1746"
"YGL062W"	"556_1170_5ks8.1.C_5b4e83f39ffd122a4d0fd71c"	"NA"	"NA"	556	1170	"glycerol_high"	"0.147"
"YGL062W"	"19_1169_5vz0.1.A_5b4e83f39ffd122a4d0fd712"	"NA"	"NA"	19	1169	"glycerol_high"	"0.1464"
"YGL062W"	"555_1170_5ks8.1.D_5b4e83f39ffd122a4d0fd718"	"NA"	"NA"	555	1170	"glycerol_high"	"0.1606"
"YDR502C"	"5_383_2p02.1.A_5b3ab44e732c1e2d2bd71bb4"	"NA"	"NA"	5	383	"glycerol_high"	"0.041"
"YER091C"	"1_765_4qqu.1.A_5b432296d60c590a390a3f72"	"NA"	"NA"	1	765	"glycerol_high"	"0.1766"
"YFR055W"	"11_340_1cl2.1.A_5b3a8941d60c59a2575fbc9d"	"NA"	"NA"	11	340	"glycerol_high"	"0.2556"
"YJR137C"	"846_1433_5h8v.1.A_5b2439f1ad01f06ba7ed60c8"	"NA"	"NA"	846	1433	"glycerol_high"	"0.9389"
"YJR137C"	"339_665_6ciq.2.B_5b2439f1ad01f06ba7ed60c4"	"NA"	"NA"	339	665	"glycerol_high"	"0.9944"
"YJR137C"	"679_836_1b1c.1.A_5b2439f0ad01f06ba7ed60c0"	"NA"	"NA"	679	836	"glycerol_high"	"0.0173"
"YNL277W"	"28_448_2vav.1.A_5b3d29158fd6f97841dfe104"	"NA"	"NA"	28	448	"glycerol_high"	"0.3881"
"YER062C"	"1_237_2qlt.1.A_5b3d47b13b85d12b6cc41387"	"NA"	"NA"	1	237	"glycerol_high"	"0.4727"
"YOL126C"	"13_372_1sev.1.A_5b3a9e748fd6f9674713b642"	"NA"	"NA"	13	372	"glycerol_high"	"0.0778"
"YHR011W"	"20_446_2zr3.1.A_5b3b9da9732c1e67cc620072"	"NA"	"NA"	20	446	"glycerol_high"	"0.1469"
"YIR031C"	"25_541_3cuz.1.A_5b3e9914732c1ef8620670a7"	"NA"	"NA"	25	541	"glycerol_high"	"0.5441"
"YBL091C"	"50_421_5cls.1.A_5b3b36e18fd6f9b57661c65e"	"NA"	"NA"	50	421	"glycerol_high"	"0.9209"
"YHR216W"	"5_523_4z87.1.A_5b3dac0f1a200b07ab1ac1fc"	"NA"	"NA"	5	523	"glycerol_high"	"0.0024"
"YHR216W"	"22_521_1jr1.1.A_5b3dac0f1a200b07ab1ac1f7"	"NA"	"NA"	22	521	"glycerol_high"	"0.0034"
"YJL167W"	"6_352_1fps.1.A_5b3a523b732c1ed2d53a28c5"	"NA"	"NA"	6	352	"glycerol_high"	"0.2656"
"YCR036W"	"2_331_5bye.1.A_5b3aa42f9ffd12578f9a4797"	"NA"	"NA"	2	331	"glycerol_high"	"0.3248"
"YKL218C"	"1_318_2zr8.1.A_5b3ac4c11a200b7f94e660ca"	"NA"	"NA"	1	318	"glycerol_high"	"0.9905"
"YEL058W"	"17_554_2dkd.1.A_5b3eab389ffd1285d6cb09e5"	"NA"	"NA"	17	554	"glycerol_high"	"0.8713"
"YEL058W"	"1_554_2dkd.1.A_5b3eab389ffd1285d6cb09e1"	"NA"	"NA"	1	554	"glycerol_high"	"0.4266"
"YJL100W"	"165_209_4wtv.1.A_5b3fdef49ffd12a97042fec7"	"NA"	"NA"	165	209	"glycerol_high"	"NA"
"YPL060W"	"64_326_3rkg.1.A_5b3b1a3dd60c5969ba0f11b7"	"NA"	"NA"	64	326	"glycerol_high"	"0.6035"
"YIL094C"	"22_371_3ty3.1.A_5b3a881ad60c59610c59b523"	"NA"	"NA"	22	371	"glycerol_high"	"0.1494"
"YOR108W"	"26_595_3hpz.1.B_5b3fcd451a200b248efaff5d"	"NA"	"NA"	26	595	"glycerol_high"	"0.3815"
"YOR108W"	"26_595_3hpz.1.A_5b3fcd451a200b248efaff59"	"NA"	"NA"	26	595	"glycerol_high"	"0.3719"
"YCL018W"	"4_362_3udo.1.A_5b3a6dfb9ffd1253c977ad36"	"NA"	"NA"	4	362	"glycerol_high"	"NA"
"YKR097W"	"32_548_1ii2.1.A_5b3e75051a200b5038d5bb65"	"NA"	"NA"	32	548	"glycerol_high"	"0.3521"
"YMR246W"	"39_691_5mst.1.A_5b41c4d68fd6f9da68b53e00"	"NA"	"NA"	39	691	"glycerol_high"	"0.472"
"YLR231C"	"4_451_3e9k.1.A_5b3bb7aed60c599ec3dd03cb"	"NA"	"NA"	4	451	"glycerol_high"	"0.6059"
"YPL053C"	"99_445_1s4p.1.A_5b3b9f3c8fd6f9aedd48be37"	"NA"	"NA"	99	445	"glycerol_high"	"0.6895"
"YOR099W"	"53_393_1s4p.1.A_5b3ad31e1a200b60685c125c"	"NA"	"NA"	53	393	"glycerol_high"	"0.0132"
"YNL009W"	"3_407_5i95.1.A_5b3b33013b85d149be774329"	"NA"	"NA"	3	407	"glycerol_high"	"0.84"
"YOR347C"	"4_502_1a3w.1.A_5b3d68ae3b85d1733b3a4b70"	"NA"	"NA"	4	502	"glycerol_high"	"0.2639"
"YDL182W"	"21_390_3a9i.1.A_5b3b54803b85d1c24c4916de"	"NA"	"NA"	21	390	"glycerol_high"	"0.2387"
"YDL182W"	"12_392_3mi3.1.A_5b3b54803b85d1c24c4916d2"	"NA"	"NA"	12	392	"glycerol_high"	"0.6825"
"YOL061W"	"4_109_3dah.1.A_5a7e2a13a52be74777550bff"	"NA"	"NA"	4	109	"glycerol_high"	"NA"
"YBR263W"	"33_488_5v7i.1.A_5b3d34951a200b259ed699dc"	"NA"	"NA"	33	488	"glycerol_high"	"0.3739"
"YLL057C"	"113_392_3v15.1.A_5b3b12eed60c592a87d28146"	"NA"	"NA"	113	392	"glycerol_high"	"0.281"
"YOL058W"	"3_407_2nz2.1.A_5b3b35f48fd6f984d262b2f4"	"NA"	"NA"	3	407	"glycerol_high"	"0.2863"
"YMR208W"	"4_409_2r3v.1.A_5b3b93b43b85d121d3971817"	"NA"	"NA"	4	409	"glycerol_high"	"0.8659"
"YKL001C"	"18_64_5ko2.1.A_5b3f6f008fd6f9912e343489"	"NA"	"NA"	18	64	"glycerol_high"	"NA"
"YKL001C"	"7_198_6c6b.2.B_5b3f6f008fd6f9912e343485"	"NA"	"NA"	7	198	"glycerol_high"	"NA"
"YER170W"	"12_224_2ak3.2.A_5b3e1826732c1e10667858b4"	"NA"	"NA"	12	224	"glycerol_high"	"0.9556"
"YJR069C"	"3_194_4f95.1.A_5b3fc12b9ffd122b6c1d4e96"	"NA"	"NA"	3	194	"glycerol_high"	"0.8791"
"YOR226C"	"20_155_5t0v.1.C_5b4271f2d60c59e5e91a2b47"	"NA"	"NA"	20	155	"glycerol_high"	"0.6398"
"YNL169C"	"165_197_6g2j.1.5_5b422bafc4494f4eed1936d6"	"NA"	"NA"	165	197	"glycerol_high"	"NA"
"YFL001W"	"27_52_3s9g.1.A_5b3b8f9908cc8fd55cd0e76b"	"NA"	"NA"	27	52	"glycerol_high"	"NA"
"YHR189W"	"9_190_4yly.1.A_59086a59d823cc88f08891fe"	"NA"	"NA"	9	190	"glycerol_high"	"0.2912"
"YER099C"	"5_313_2h07.1.B_5b3ae57ad60c593b585e52ce"	"NA"	"NA"	5	313	"glycerol_high"	"0.0196"
"YOR109W"	"542_888_1i9y.1.A_5b47b5213b85d12c7ca1aa8e"	"NA"	"NA"	542	888	"glycerol_high"	"0.7158"
"YNL106C"	"567_913_1i9y.1.A_5b4e9ab69ffd1284f092288f"	"NA"	"NA"	567	913	"glycerol_high"	"0.4777"
"YIL002C"	"503_851_1i9y.1.A_5b4616c8a03a1b2a492ae745"	"NA"	"NA"	503	851	"glycerol_high"	"0.3923"
"YDR287W"	"8_285_2hhm.1.B_5b3b7a35d60c59bbcafbb32c"	"NA"	"NA"	8	285	"glycerol_high"	"0.5868"
"YLR432W"	"5_523_4z87.1.A_5b3daade9ffd12f229d5a50a"	"NA"	"NA"	5	523	"glycerol_high"	"0.7807"
"YDR111C"	"24_506_3tcm.1.A_5b3d6c7e8fd6f9ed970b6636"	"NA"	"NA"	24	506	"glycerol_high"	"0.4215"
"YJR016C"	"20_584_5j83.1.A_5b3f5d5508cc8fa7c3bb1ef1"	"NA"	"NA"	20	584	"glycerol_high"	"0.7555"
"YLR355C"	"61_393_3ulk.2.A_5b3ada238fd6f9b308989ba8"	"NA"	"NA"	61	393	"glycerol_high"	"0.1519"
"YLR355C"	"43_395_3fr7.1.A_5b3ada238fd6f9b308989ba4"	"NA"	"NA"	43	395	"glycerol_high"	"0.3803"
"YLR355C"	"73_392_6aqj.1.A_5b3ada238fd6f9b308989ba0"	"NA"	"NA"	73	392	"glycerol_high"	"0.1502"
"YPL117C"	"63_287_2i6k.1.A_5b3b973208cc8f6161751a63"	"NA"	"NA"	63	287	"glycerol_high"	"0.1052"
"YLR174W"	"1_409_2qfx.1.A_5b3b12efd60c592a87d2817a"	"NA"	"NA"	1	409	"glycerol_high"	"0.3953"
"YIL043C"	"28_268_2eix.1.A_5b3ba752a03a1b3e1f33c822"	"NA"	"NA"	28	268	"glycerol_high"	"0.9803"
"YHR163W"	"2_245_3ico.1.A_5b3d4de49ffd120d8562b37e"	"NA"	"NA"	2	245	"glycerol_high"	"0.3699"
"YDL093W"	"320_509_3mal.1.A_5b42c1a6d60c592ec19f37cc"	"NA"	"NA"	320	509	"glycerol_high"	"0.3142"
"YIL145C"	"1_309_2ejc.1.A_5b3b1e5dd60c591f716f1289"	"NA"	"NA"	1	309	"glycerol_high"	"0.3252"
"YAL044C"	"37_167_3hgb.1.A_5b41753e08cc8fc0c0db49a4"	"NA"	"NA"	37	167	"glycerol_high"	"NA"
"YHR051W"	"46_146_5iy5.2.E_5b4327171a200bc1127ecae3"	"NA"	"NA"	46	146	"glycerol_high"	"0.753"
"YOR040W"	"11_285_1qh5.1.A_5b3ba1e88fd6f917391d5fb5"	"NA"	"NA"	11	285	"glycerol_high"	"0.8754"
"YLR420W"	"12_360_3pnu.1.A_5b3a6d5808cc8f732410f16f"	"NA"	"NA"	12	360	"glycerol_high"	"0.5126"
"YGR154C"	"4_356_5lkb.1.A_5b3a46313b85d173dd45b5b1"	"NA"	"NA"	4	356	"glycerol_high"	"0.4197"
"YMR189W"	"63_1027_4lgl.1.A_5b470e828fd6f9a3fb8d1a26"	"NA"	"NA"	63	1027	"glycerol_high"	"0.9025"
"YNL104C"	"28_595_3hpz.1.B_5b40270908cc8f17530ace17"	"NA"	"NA"	28	595	"glycerol_high"	"0.6516"
"YNL104C"	"28_595_3hpz.1.A_5b40270808cc8f17530ace13"	"NA"	"NA"	28	595	"glycerol_high"	"0.6291"
"YMR169C"	"14_504_4wj9.1.A_5b3d674aa03a1bae53cd7639"	"NA"	"NA"	14	504	"glycerol_high"	"0.5933"
"YHR044C"	"9_231_2qlt.1.A_5b3d5be4d60c5971d539d02a"	"NA"	"NA"	9	231	"glycerol_high"	"0.9188"
"YJL052W"	"1_332_3pym.1.A_5b3aaae6d60c59b81a9931aa"	"NA"	"NA"	1	332	"glycerol_high"	"0.7934"
"YKL184W"	"64_463_2oo0.1.A_5b3cd9ad8fd6f9ac4004ce78"	"NA"	"NA"	64	463	"glycerol_high"	"0.1076"
"YBL076C"	"2_843_1jzq.1.A_5b476a7f3b85d1b86cfdc426"	"NA"	"NA"	2	843	"glycerol_high"	"0.5459"
"YJL216C"	"7_579_3axh.1.A_5b3f4680a03a1b6f9e690905"	"NA"	"NA"	7	579	"glycerol_high"	"0.4386"
"YIR027C"	"4_458_4tqt.1.A_5b3ca07c08cc8ff629cc8882"	"NA"	"NA"	4	458	"glycerol_high"	"0.6093"
"YDR062W"	"104_545_5txr.1.A_5b3eca218fd6f9bcb9f0eb71"	"NA"	"NA"	104	545	"glycerol_high"	"0.7049"
"YDR062W"	"100_524_4bmk.1.A_5b3eca218fd6f9bcb9f0eb6d"	"NA"	"NA"	100	524	"glycerol_high"	"0.798"
"YLR153C"	"38_674_1ry2.1.A_5b4185e408cc8fd222bcf480"	"NA"	"NA"	38	674	"glycerol_high"	"0.6538"
"YLR153C"	"32_672_5vpv.2.A_5b4185e408cc8fd222bcf47c"	"NA"	"NA"	32	672	"glycerol_high"	"0.6352"
"YDR268W"	"34_379_6dfu.1.A_5b3aa317732c1e57c5864d40"	"NA"	"NA"	34	379	"glycerol_high"	"0.8249"
"YLR369W"	"31_574_3c7n.1.B_5b4100329ffd12a362f0b5d0"	"NA"	"NA"	31	574	"glycerol_high"	"0.8432"
"YLR369W"	"27_586_1yuw.1.A_5b4100329ffd12a362f0b5cc"	"NA"	"NA"	27	586	"glycerol_high"	"0.3182"
"YLR369W"	"28_650_5nro.1.A_5b4100329ffd12a362f0b5c4"	"NA"	"NA"	28	650	"glycerol_high"	"0.9827"
"YLR369W"	"31_567_3c7n.1.A_5b4100329ffd12a362f0b5d4"	"NA"	"NA"	31	567	"glycerol_high"	"0.9822"
"YLR369W"	"30_576_5obu.1.A_5b4100329ffd12a362f0b5c0"	"NA"	"NA"	30	576	"glycerol_high"	"0.826"
"YLR369W"	"29_571_2v7y.1.A_5b4100329ffd12a362f0b5c8"	"NA"	"NA"	29	571	"glycerol_high"	"0.8267"
"YLR377C"	"19_345_5oey.1.A_5b3a65bdd60c594dd678914a"	"NA"	"NA"	19	345	"glycerol_high"	"NA"
"YBL064C"	"49_258_5b6m.1.A_5b3d134c3b85d1de9c2d390e"	"NA"	"NA"	49	258	"glycerol_high"	"0.8894"
"YGR124W"	"2_545_1ct9.1.A_5b3f097c3b85d172417fdf47"	"NA"	"NA"	2	545	"glycerol_high"	"0.5949"
"YDR040C"	"14_1052_5mpm.1.A_5b47947ad60c597c3b64de5f"	"NA"	"NA"	14	1052	"glycerol_high"	"0.2498"
"YNR057C"	"12_232_3of5.1.A_5b3d87813b85d1b15772950b"	"NA"	"NA"	12	232	"glycerol_high"	"0.9179"
"YJR109C"	"23_1114_5dot.1.A_5b4ccfe4a03a1b5614bfe7e4"	"NA"	"NA"	23	1114	"glycerol_high"	"0.2836"
"YJR109C"	"21_1114_1bxr.1.A_5b4ccfe3a03a1b5614bfe7e0"	"NA"	"NA"	21	1114	"glycerol_high"	"0.306"
"YJR109C"	"21_1080_5dou.1.A_5b4ccfe3a03a1b5614bfe7db"	"NA"	"NA"	21	1080	"glycerol_high"	"0.2821"
